# id, x, y, valid
0, 114, 358, 1
1, 121, 342, 1
2, -1, -1, 1
3, 135, 247, 1
4, 110, 214, 1
5, 320, 222, 1
6, -1, -1, 1
7, 213, 287, 1
8, 463, 326, 1
9, 451, 289, 1
10, 406, 152, 1
11, 239, 167, 1
12, 276, 135, 1
13, 282, 308, 1
14, 472, 349, 1
15, 507, 304, 1
16, 534, 149, 1
17, 484, 159, 1
18, 393, 190, 1
19, 210, 257, 1
20, 389, 339, 1
21, -1, -1, 1
22, 199, 220, 1
23, 147, 203, 1
24, 309, 161, 1
25, 298, 266, 1
26, 499, 369, 1
27, 472, 257, 1
28, 442, 272, 1
29, 437, 250, 1
30, 502, 220, 1
31, 194, 324, 1
32, 225, 242, 1
33, 271, 285, 1
34, 369, 273, 1
35, 353, 124, 1
36, -1, -1, 1
37, 410, 204, 1
38, 295, 183, 1
39, 229, 266, 1
40, 506, 189, 1
41, 519, 198, 1
42, 471, 232, 1
43, 468, 209, 1
44, 437, 182, 1
45, 383, 300, 1
46, 298, 209, 1
47, 229, 297, 1
48, 156, 238, 1
49, 115, 302, 1
