# id, x, y, valid
0, 83, 335, 1
1, 88, 326, 1
2, 110, 283, 1
3, 85, 233, 1
4, 57, 189, 1
5, 291, 264, 1
6, 218, 280, 1
7, -1, -1, 1
8, 413, 361, 1
9, -1, -1, 1
10, 381, 171, 1
11, 211, 182, 1
12, 254, 157, 1
13, -1, -1, 1
14, 417, 378, 1
15, 446, 318, 1
16, 503, 156, 1
17, -1, -1, 1
18, 359, 228, 1
19, 185, 285, 1
20, -1, -1, 1
21, 307, 294, 1
22, 160, 228, 1
23, 101, 182, 1
24, 299, 189, 1
25, 254, 331, 1
26, 442, 383, 1
27, -1, -1, 1
28, 406, 317, 1
29, 401, 297, 1
30, -1, -1, 1
31, 165, 320, 1
32, 202, 265, 1
33, -1, -1, 1
34, 325, 354, 1
35, 330, 147, 1
36, 349, 285, 1
37, 374, 241, 1
38, 272, 221, 1
39, 197, 299, 1
40, 462, 191, 1
41, 473, 202, 1
42, 424, 264, 1
43, 421, 237, 1
44, 403, 201, 1
45, 333, 381, 1
46, 272, 248, 1
47, -1, -1, 1
48, 111, 229, 1
49, 62, 294, 1
