# id, x, y, valid
0, 98, 406, 1
1, 106, 389, 1
2, 138, 328, 1
3, 108, 287, 1
4, 75, 252, 1
5, 260, 247, 1
6, 215, 283, 1
7, 196, 343, 1
8, 417, 363, 1
9, 400, 328, 1
10, 356, 162, 1
11, 206, 184, 1
12, 229, 136, 1
13, 239, 393, 1
14, 426, 382, 1
15, 457, 329, 1
16, 484, 167, 1
17, 434, 177, 1
18, 333, 219, 1
19, 200, 306, 1
20, 342, 408, 1
21, 278, 278, 1
22, 176, 258, 1
23, 111, 239, 1
24, 259, 165, 1
25, 250, 334, 1
26, 455, 399, 1
27, 414, 288, 1
28, 387, 313, 1
29, 378, 291, 1
30, 448, 245, 1
31, 177, 381, 1
32, 207, 276, 1
33, 233, 355, 1
34, 310, 339, 1
35, 300, 125, 1
36, 318, 272, 1
37, 347, 235, 1
38, 244, 200, 1
39, 208, 320, 1
40, 460, 207, 1
41, 474, 216, 1
42, 405, 265, 1
43, 402, 240, 1
44, 381, 206, 1
45, 327, 368, 1
46, 246, 231, 1
47, 207, 356, 1
48, 132, 277, 1
49, 90, 342, 1
