# id, x, y, valid
0, 80, 360, 1
1, 86, 345, 1
2, 119, 287, 1
3, 83, 247, 1
4, 55, 206, 1
5, 268, 224, 1
6, 207, 257, 1
7, 184, 307, 1
8, 385, 367, 1
9, 371, 336, 1
10, 357, 175, 1
11, 178, 166, 1
12, 221, 145, 1
13, 229, 365, 1
14, 393, 386, 1
15, 429, 350, 1
16, 466, 196, 1
17, 418, 193, 1
18, 327, 219, 1
19, 187, 271, 1
20, 323, 381, 1
21, 287, 252, 1
22, 153, 222, 1
23, 88, 199, 1
24, 266, 163, 1
25, 248, 309, 1
26, 419, 405, 1
27, 392, 295, 1
28, 361, 315, 1
29, 359, 290, 1
30, 424, 259, 1
31, 166, 338, 1
32, 194, 246, 1
33, 222, 331, 1
34, 296, 314, 1
35, 308, 123, 1
36, -1, -1, 1
37, 337, 234, 1
38, 243, 196, 1
39, 199, 289, 1
40, 443, 224, 1
41, 452, 237, 1
42, 383, 267, 1
43, 383, 240, 1
44, 371, 214, 1
45, 313, 342, 1
46, 246, 215, 1
47, 198, 324, 1
48, 108, 237, 1
49, 67, 303, 1
