# id, x, y, valid
0, 64, 382, 1
1, 72, 366, 1
2, 106, 307, 1
3, 79, 264, 1
4, 43, 228, 1
5, 282, 247, 1
6, 210, 277, 1
7, 173, 327, 1
8, 436, 382, 1
9, 422, 345, 1
10, 393, 177, 1
11, 181, 184, 1
12, -1, -1, 1
13, 245, 381, 1
14, 443, 406, 1
15, 482, 360, 1
16, 533, 199, 1
17, 473, 205, 1
18, 362, 224, 1
19, 179, 292, 1
20, 357, 414, 1
21, 303, 276, 1
22, 147, 244, 1
23, 81, 219, 1
24, 276, 177, 1
25, 264, 328, 1
26, 471, 428, 1
27, 439, 309, 1
28, 409, 326, 1
29, 402, 303, 1
30, 474, 273, 1
31, 147, 361, 1
32, 193, 266, 1
33, 239, 346, 1
34, 330, 338, 1
35, -1, -1, 1
36, 343, 272, 1
37, 376, 241, 1
38, 255, 207, 1
39, 196, 307, 1
40, 497, 236, 1
41, 510, 247, 1
42, 432, 284, 1
43, 431, 257, 1
44, 413, 221, 1
45, 347, 370, 1
46, 261, 231, 1
47, 195, 342, 1
48, 104, 256, 1
49, 59, 318, 1
