# id, x, y, valid
0, 58, 363, 1
1, 63, 348, 1
2, 78, 297, 1
3, 53, 252, 1
4, -1, -1, 1
5, 259, 253, 1
6, 188, 267, 1
7, 148, 312, 1
8, 402, 358, 1
9, 396, 326, 1
10, 369, 169, 1
11, 172, 160, 1
12, 221, 151, 1
13, -1, -1, 1
14, 408, 374, 1
15, 439, 317, 1
16, 500, 151, 1
17, 441, 156, 1
18, 341, 225, 1
19, 153, 281, 1
20, -1, -1, 1
21, 280, 286, 1
22, 116, 222, 1
23, 64, 203, 1
24, 266, 179, 1
25, 234, 334, 1
26, 434, 383, 1
27, 410, 281, 1
28, 388, 315, 1
29, 378, 291, 1
30, 439, 234, 1
31, 131, 339, 1
32, 169, 253, 1
33, 204, 344, 1
34, 308, 348, 1
35, 317, 140, 1
36, 323, 280, 1
37, 353, 239, 1
38, 238, 202, 1
39, 168, 300, 1
40, 459, 191, 1
41, 469, 202, 1
42, 405, 259, 1
43, 400, 231, 1
44, 385, 201, 1
45, 324, 377, 1
46, 239, 233, 1
47, 166, 333, 1
48, 74, 242, 1
49, -1, -1, 1
