# id, x, y, valid
0, 78, 338, 1
1, 86, 322, 1
2, 106, 276, 1
3, 73, 241, 1
4, 53, 213, 1
5, 299, 246, 1
6, 219, 256, 1
7, 182, 296, 1
8, 453, 339, 1
9, 449, 312, 1
10, 406, 181, 1
11, 213, 188, 1
12, 257, 155, 1
13, 257, 345, 1
14, 457, 360, 1
15, 512, 323, 1
16, 539, 199, 1
17, 486, 203, 1
18, 381, 232, 1
19, 184, 266, 1
20, 366, 374, 1
21, 321, 264, 1
22, 158, 230, 1
23, 96, 209, 1
24, 302, 182, 1
25, 279, 301, 1
26, 482, 380, 1
27, 479, 285, 1
28, 440, 299, 1
29, 436, 281, 1
30, 509, 267, 1
31, 160, 327, 1
32, 200, 249, 1
33, 252, 316, 1
34, 350, 310, 1
35, 351, 138, 1
36, 365, 263, 1
37, 397, 246, 1
38, 276, 214, 1
39, 204, 281, 1
40, 518, 233, 1
41, 533, 242, 1
42, 463, 272, 1
43, 455, 257, 1
44, 430, 227, 1
45, 363, 335, 1
46, 278, 236, 1
47, 206, 310, 1
48, 104, 238, 1
49, 56, 284, 1
