# id, x, y, valid
0, 84, 331, 1
1, -1, -1, 1
2, 115, 267, 1
3, 73, 224, 1
4, 38, 182, 1
5, 280, 222, 1
6, 219, 234, 1
7, 192, 279, 1
8, -1, -1, 1
9, 400, 312, 1
10, 388, 152, 1
11, 210, 162, 1
12, 251, 147, 1
13, 231, 329, 1
14, -1, -1, 1
15, -1, -1, 1
16, 520, 143, 1
17, 461, 142, 1
18, 357, 208, 1
19, 195, 245, 1
20, -1, -1, 1
21, 291, 255, 1
22, 156, 195, 1
23, 80, 171, 1
24, 298, 157, 1
25, 247, 298, 1
26, -1, -1, 1
27, 418, 265, 1
28, 389, 296, 1
29, 384, 273, 1
30, 451, 219, 1
31, 170, 310, 1
32, 204, 221, 1
33, -1, -1, 1
34, 310, 321, 1
35, 349, 132, 1
36, 332, 258, 1
37, 366, 222, 1
38, 275, 175, 1
39, 207, 264, 1
40, 475, 181, 1
41, 483, 191, 1
42, 413, 240, 1
43, 414, 215, 1
44, 402, 185, 1
45, 323, 353, 1
46, 269, 200, 1
47, 206, 298, 1
48, 104, 213, 1
49, 61, 286, 1
