# id, x, y, valid
0, 108, 367, 1
1, 116, 351, 1
2, 147, 291, 1
3, 120, 248, 1
4, 91, 214, 1
5, 320, 210, 1
6, 237, 250, 1
7, 203, 305, 1
8, 480, 342, 1
9, 469, 305, 1
10, 415, 148, 1
11, 228, 162, 1
12, 268, 123, 1
13, 284, 345, 1
14, 487, 364, 1
15, 508, 312, 1
16, 541, 149, 1
17, 489, 159, 1
18, 405, 184, 1
19, 204, 270, 1
20, 398, 369, 1
21, 341, 241, 1
22, 181, 222, 1
23, 129, 203, 1
24, 313, 129, 1
25, 300, 294, 1
26, 510, 381, 1
27, 480, 268, 1
28, 457, 286, 1
29, 451, 261, 1
30, 498, 225, 1
31, 184, 342, 1
32, 218, 241, 1
33, 275, 312, 1
34, 371, 299, 1
35, 354, 114, 1
36, 388, 234, 1
37, 425, 198, 1
38, 288, 165, 1
39, 226, 282, 1
40, 511, 189, 1
41, 524, 198, 1
42, 473, 239, 1
43, 473, 212, 1
44, 452, 182, 1
45, 388, 328, 1
46, 295, 195, 1
47, 228, 315, 1
48, 142, 240, 1
49, 104, 303, 1
