# id, x, y, valid
0, 142, 365, 1
1, 151, 348, 1
2, -1, -1, 1
3, 164, 256, 1
4, 141, 221, 1
5, 336, 255, 1
6, 265, 277, 1
7, 238, 315, 1
8, 495, 373, 1
9, 481, 338, 1
10, -1, -1, 1
11, 253, 191, 1
12, 293, 156, 1
13, 316, 370, 1
14, 504, 392, 1
15, 528, 338, 1
16, 552, 189, 1
17, -1, -1, 1
18, 414, 229, 1
19, 233, 289, 1
20, -1, -1, 1
21, 358, 283, 1
22, 211, 237, 1
23, 167, 209, 1
24, 338, 173, 1
25, 327, 326, 1
26, 525, 404, 1
27, 489, 293, 1
28, 469, 321, 1
29, 461, 300, 1
30, -1, -1, 1
31, 223, 341, 1
32, 247, 267, 1
33, 304, 340, 1
34, 400, 331, 1
35, 375, 142, 1
36, 399, 281, 1
37, 430, 245, 1
38, 314, 209, 1
39, 252, 301, 1
40, 520, 217, 1
41, 527, 231, 1
42, 481, 267, 1
43, 477, 240, 1
44, 463, 207, 1
45, 416, 358, 1
46, 318, 238, 1
47, 264, 328, 1
48, 182, 248, 1
49, 139, 309, 1
