# id, x, y, valid
0, 81, 329, 1
1, 85, 321, 1
2, 109, 272, 1
3, 69, 223, 1
4, 36, 182, 1
5, 293, 231, 1
6, 220, 255, 1
7, 181, 301, 1
8, 435, 350, 1
9, 425, 313, 1
10, 403, 148, 1
11, 206, 170, 1
12, 252, 138, 1
13, 258, 359, 1
14, 442, 370, 1
15, 470, 310, 1
16, 534, 142, 1
17, 479, 143, 1
18, 373, 201, 1
19, 188, 266, 1
20, 363, 395, 1
21, 313, 262, 1
22, 153, 209, 1
23, 79, 170, 1
24, 298, 160, 1
25, 274, 312, 1
26, 462, 379, 1
27, 444, 265, 1
28, 415, 296, 1
29, 409, 273, 1
30, 473, 220, 1
31, 164, 320, 1
32, 201, 243, 1
33, 250, 328, 1
34, 341, 321, 1
35, 348, 115, 1
36, 353, 254, 1
37, 385, 216, 1
38, 272, 189, 1
39, 202, 284, 1
40, 494, 180, 1
41, 503, 191, 1
42, 438, 242, 1
43, 436, 216, 1
44, 421, 182, 1
45, 356, 351, 1
46, 272, 215, 1
47, 206, 318, 1
48, 99, 215, 1
49, 54, 285, 1
